assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_in,transfers_out,value,yellow_cards,player,Involved
0,0,30,1,0.0,15,0.0,0.0,0.0,1.36,0,0,4.0,39.8,90,0,0,0,0,5,1372414,1,0,4,0.0,7,73566,51732,49,0,Aaron_Ramsdale_15,1
0,0,12,0,0.0,15,0.0,0.0,0.0,1.32,2,0,1.8,18.4,90,0,0,0,0,2,1376833,1,2,3,0.0,1,39570,42559,49,0,Aaron_Ramsdale_15,1
0,0,24,1,0.0,15,0.0,0.0,0.0,0.84,0,0,1.5,15.0,90,0,0,0,0,2,1344284,1,3,0,0.0,6,12960,47645,49,0,Aaron_Ramsdale_15,1
0,0,13,0,0.0,15,0.0,0.0,0.0,0.6,1,0,2.8,27.6,90,0,0,0,0,3,1324912,1,1,4,0.0,3,20280,34167,49,0,Aaron_Ramsdale_15,1
0,0,15,0,0.0,15,0.0,0.0,0.0,0.78,1,0,3.4,34.2,90,0,0,0,0,4,1320420,1,1,4,0.0,3,24855,39865,49,0,Aaron_Ramsdale_15,1
0,0,12,0,0.0,15,0.0,0.0,0.0,3.96,2,0,3.4,34.0,90,0,0,0,0,4,1302682,1,2,2,0.0,1,8391,32995,49,1,Aaron_Ramsdale_15,1
0,0,13,0,0.0,15,0.0,0.0,0.0,1.75,2,0,1.4,14.4,90,0,0,0,0,1,1301483,1,2,2,0.0,1,18357,22960,49,0,Aaron_Ramsdale_15,1
0,0,11,0,0.0,15,0.0,0.0,0.0,1.42,3,0,1.8,17.8,90,0,0,0,0,3,1313066,1,3,3,0.0,2,28742,21406,49,0,Aaron_Ramsdale_15,1
0,0,18,0,0.0,15,0.0,0.0,0.0,2.06,4,0,4.5,45.2,90,0,0,0,0,5,1265337,1,1,4,0.0,1,3160,49787,49,0,Aaron_Ramsdale_15,1
0,0,15,0,0.0,15,0.0,0.0,0.0,0.74,1,0,2.6,26.4,90,0,0,0,0,3,1222797,1,1,3,0.0,3,6671,44011,48,0,Aaron_Ramsdale_15,1
